standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
42628064,77771,"Remote afterloading high dose rate radionuclide interstitial or intracavitary brachytherapy, includes basic dosimetry, when performed; 2-12 channels",radiation,Procedure,CPT4
1348266,310020130,anastrozole 1 MG Oral Tablet [Arimidex],chemo,Drug,NDC
40173296,78064781,Octreotide 20 MG Injection [Sandostatin],chemo,Drug,NDC
40224789,10544006210,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
40757104,28047,"Radical resection of tumor (eg, sarcoma), soft tissue of foot or toe; 3 cm or greater",surgery,Procedure,CPT4
1388801,55390082501,Leucovorin 20 MG/ML Injectable Solution,chemo,Drug,NDC
19079138,781916771,1 ML octreotide 0.1 MG/ML Injection,chemo,Drug,NDC
42629363,17314960002,doxorubicin hydrochloride liposome 2 MG/ML Injectable Solution [Doxil],chemo,Drug,NDC
2750481,0FB20ZZ,"Excision of Left Lobe Liver, Open Approach",surgery,Procedure,ICD10PCS
42628908,55390021701,Idarubicin Hydrochloride 1 MG/ML Injectable Solution,chemo,Drug,NDC
46275601,53905003410,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
19125747,54032406,temozolomide 180 MG Oral Capsule,chemo,Drug,NDC
1309190,15210040336,Mitoxantrone 2 MG/ML Injectable Solution,chemo,Drug,NDC
40218538,C1705,"Needle, brachytherapy, best industries flexi needle brachytherapy seed implantation (13g, 14g, 15g, 16g, 17g, 18g), best industries prostate brachytherapy needle (Deprecated)",radiation,Device,HCPCS
35605875,J9178,"Injection, epirubicin hcl, 2 mg",chemo,Drug,HCPCS
19018903,54868500501,Cyclophosphamide 50 MG Oral Tablet,chemo,Drug,NDC
40224789,832008700,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
1436651,49884092202,mercaptopurine 50 MG Oral Tablet,chemo,Drug,NDC
42742549,77424,"Intraoperative radiation treatment delivery, x-ray, single treatment session",radiation,Procedure,CPT4
46275601,66479013613,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
46275601,10019094101,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
2722688,00B60ZX,"Excision of Cerebral Ventricle, Open Approach, Diagnostic",surgery,Procedure,ICD10PCS
4231761,19200,"Mastectomy, radical, including pectoral muscles, axillary lymph nodes (Deprecated)",surgery,Procedure,CPT4
4231761,19200,"Mastectomy, radical, including pectoral muscles, axillary lymph nodes (Deprecated)",radiation,Procedure,CPT4
42740730,0083T,"Stereotactic body radiation therapy, treatment management, per day (Deprecated)",radiation,Procedure,CPT4
19131812,85435601,peginterferon alfa-2b 0.15 MG Injection [Pegintron],chemo,Drug,NDC
35603176,63323012600,gemcitabine 2000 MG Injection,chemo,Drug,NDC
19102501,47335047281,imatinib 100 MG Oral Tablet,chemo,Drug,NDC
2616465,C9728,"Placement of interstitial device(s) for radiation therapy/surgery guidance (e.g., fiducial markers, dosimeter), for other than the following sites (any approach): abdomen, pelvis, prostate, retroperitoneum, thorax, single or multiple",radiation,Procedure,HCPCS
